Parasite.treatment,Compound.name,Concentration,Rep,Number,End_time,Dead
Parasite,Cinnamaldehyde,High,2,8,8,1
Parasite,Cinnamaldehyde,High,2,9,8,1
Parasite,Cinnamaldehyde,High,2,10,8,1
Parasite,Cinnamaldehyde,High,2,11,11,0
Parasite,Cinnamaldehyde,High,2,12,11,0
Parasite,Cinnamaldehyde,High,2,13,11,0
Parasite,Cinnamaldehyde,High,2,14,11,0
Parasite,Cinnamaldehyde,High,3,1,1,1
Parasite,Cinnamaldehyde,High,3,2,8,1
Parasite,Cinnamaldehyde,High,3,3,8,1
Parasite,Cinnamaldehyde,High,3,4,8,1
Parasite,Cinnamaldehyde,High,3,5,8,1
Parasite,Cinnamaldehyde,High,3,6,8,1
Parasite,Cinnamaldehyde,High,3,7,8,1
Parasite,Cinnamaldehyde,High,3,8,8,1
Parasite,Cinnamaldehyde,High,3,9,8,1
Parasite,Cinnamaldehyde,High,3,10,11,0
Parasite,Cinnamaldehyde,High,3,11,11,0
Parasite,Cinnamaldehyde,High,3,12,11,0
Parasite,Cinnamaldehyde,High,3,13,11,0
Parasite,Cinnamaldehyde,High,3,14,11,0
Parasite,Cinnamaldehyde,High,4,1,6,1
Parasite,Cinnamaldehyde,High,4,2,8,1
Parasite,Cinnamaldehyde,High,4,3,8,1
Parasite,Cinnamaldehyde,High,4,4,8,1
Parasite,Cinnamaldehyde,High,4,5,8,1
Parasite,Cinnamaldehyde,High,4,6,8,1
Parasite,Cinnamaldehyde,High,4,7,8,1
Parasite,Cinnamaldehyde,High,4,8,8,1
Parasite,Cinnamaldehyde,High,4,9,12,1
Parasite,Cinnamaldehyde,High,4,10,11,0
Parasite,Cinnamaldehyde,High,4,11,11,0
Parasite,Cinnamaldehyde,High,4,12,11,0
Parasite,Cinnamaldehyde,High,4,13,11,0
Parasite,Cinnamaldehyde,High,4,14,11,0
Parasite,Cinnamaldehyde,High,5,1,1,1
Parasite,Cinnamaldehyde,High,5,2,8,1
Parasite,Cinnamaldehyde,High,5,3,8,1
Parasite,Cinnamaldehyde,High,5,4,8,1
Parasite,Cinnamaldehyde,High,5,5,8,1
Parasite,Cinnamaldehyde,High,5,6,8,1
Parasite,Cinnamaldehyde,High,5,7,8,1
Parasite,Cinnamaldehyde,High,5,8,8,1
Parasite,Cinnamaldehyde,High,5,9,9,1
Parasite,Cinnamaldehyde,High,5,10,9,1
Parasite,Cinnamaldehyde,High,5,11,12,1
Parasite,Cinnamaldehyde,High,5,12,14,1
Parasite,Cinnamaldehyde,High,5,13,15,1
Parasite,Cinnamaldehyde,High,5,14,11,0
Parasite,Cinnamaldehyde,High,6,1,4,1
Parasite,Cinnamaldehyde,High,6,2,4,1
Parasite,Cinnamaldehyde,High,6,3,8,1
Parasite,Cinnamaldehyde,High,6,4,8,1
Parasite,Cinnamaldehyde,High,6,5,8,1
Parasite,Cinnamaldehyde,High,6,6,8,1
Parasite,Cinnamaldehyde,High,6,7,8,1
Parasite,Cinnamaldehyde,High,6,8,8,1
Parasite,Cinnamaldehyde,High,6,9,8,1
Parasite,Cinnamaldehyde,High,6,10,13,1
Parasite,Cinnamaldehyde,High,6,11,11,0
Parasite,Cinnamaldehyde,High,6,12,11,0
Parasite,Cinnamaldehyde,High,6,13,11,0
Parasite,Cinnamaldehyde,High,6,14,11,0
Parasite,Cinnamaldehyde,Low,1,1,4,1
Parasite,Cinnamaldehyde,Low,1,2,5,1
Parasite,Cinnamaldehyde,Low,1,3,8,1
Parasite,Cinnamaldehyde,Low,1,4,8,1
Parasite,Cinnamaldehyde,Low,1,5,8,1
Parasite,Cinnamaldehyde,Low,1,6,8,1
Parasite,Cinnamaldehyde,Low,1,7,8,1
